contractId,stockSymbol,securityName,contractQuantity,contractRate,contractAmount,tradeTime,businessDate,capturedAt
2026061604007551,CGH,Chandragiri Hills Limited,10,783.2,7832.0,2026-06-16T14:52:44.429309,2026-06-16,2026-06-16T19:09:32.542880
2026061604007552,SSHL,Shiva Shree Hydropower Ltd,240,209.9,50376.0,2026-06-16T14:52:46.100441,2026-06-16,2026-06-16T19:09:32.542871
2026061604007553,API,Api Power Company Ltd.,300,343.0,102900.0,2026-06-16T14:52:46.6964,2026-06-16,2026-06-16T19:09:32.542870
2026061604007554,HEI,Himalayan Everest Insurance Limited,241,560.0,134960.0,2026-06-16T14:52:47.888145,2026-06-16,2026-06-16T19:09:32.542860
2026061604007555,MHNL,Mountain Hydro Nepal Limited,60,258.4,15504.0,2026-06-16T14:52:48.951261,2026-06-16,2026-06-16T19:09:32.542855
2026061604007556,MHNL,Mountain Hydro Nepal Limited,790,258.1,203899.0,2026-06-16T14:52:48.95138,2026-06-16,2026-06-16T19:09:32.542854
2026061604007557,UPPER,Upper Tamakoshi Hydropower Ltd,100,199.9,19990.0,2026-06-16T14:52:51.231547,2026-06-16,2026-06-16T19:09:30.967814
2026061604007558,RURU,Ru Ru Jalbidhyut Pariyojana Limited,290,646.0,187340.0,2026-06-16T14:52:52.289194,2026-06-16,2026-06-16T19:09:30.967810
2026061604007559,PMHPL,Panchakanya Mai Hydropower Ltd,20,332.0,6640.0,2026-06-16T14:52:53.170104,2026-06-16,2026-06-16T19:09:30.967806
2026061604007560,BARUN,Barun Hydropower Co. Ltd.,500,337.0,168500.0,2026-06-16T14:52:53.802363,2026-06-16,2026-06-16T19:09:30.967802
2026061604007561,API,Api Power Company Ltd.,50,343.1,17155.0,2026-06-16T14:52:55.334798,2026-06-16,2026-06-16T19:09:30.967789
2026061604007562,HDHPC,Himal Dolakha Hydropower Company Limited,60,218.0,13080.0,2026-06-16T14:52:55.345107,2026-06-16,2026-06-16T19:09:30.967788
2026061604007563,RIDI,Ridi Power Company Limited,150,344.2,51630.0,2026-06-16T14:52:57.844474,2026-06-16,2026-06-16T19:09:30.967782
2026061604007564,NHPC,National Hydro Power Company Limited,120,279.1,33492.0,2026-06-16T14:52:59.760211,2026-06-16,2026-06-16T19:09:30.967774
2026061604007565,SSHL,Shiva Shree Hydropower Ltd,60,209.7,12582.0,2026-06-16T14:52:59.807901,2026-06-16,2026-06-16T19:09:30.967766
2026061604007566,LEC,Liberty Energy Company Limited,30,219.5,6585.0,2026-06-16T14:53:00.111445,2026-06-16,2026-06-16T19:09:38.211519
2026061604007567,API,Api Power Company Ltd.,183,343.1,62787.3,2026-06-16T14:53:02.36567,2026-06-16,2026-06-16T19:09:38.211507
